xmin,ymin,xmax,ymax,confidence,class,name
1621.752197265625,339.0108337402344,2044.367431640625,558.9161987304688,0.8990975022315979,2,car
1805.841552734375,405.49407958984375,2046.525634765625,602.2603759765625,0.865917444229126,2,car
3.783252000808716,341.44775390625,445.59527587890625,610.1544189453125,0.8448265194892883,2,car
553.0255737304688,335.37249755859375,855.1930541992188,504.01934814453125,0.8351311087608337,2,car
304.0433044433594,341.3851623535156,702.7178344726562,586.70703125,0.7490013837814331,2,car
1421.30908203125,335.9356994628906,1621.864501953125,459.445556640625,0.7286989688873291,2,car
1525.4091796875,339.84417724609375,1778.369384765625,479.15478515625,0.6760126352310181,2,car
888.298828125,330.03521728515625,1027.1162109375,423.6976013183594,0.66079181432724,2,car
781.8257446289062,334.8724670410156,937.2916259765625,442.0165100097656,0.6604807376861572,2,car
1363.602783203125,334.000732421875,1505.177734375,426.12786865234375,0.6561046242713928,2,car
697.0170288085938,332.1781005859375,890.3557739257812,448.5760192871094,0.6519686579704285,2,car
1305.74609375,307.9608459472656,1420.8560791015625,398.4891662597656,0.589408814907074,2,car
1050.866455078125,310.4800720214844,1148.4639892578125,357.20098876953125,0.5793262124061584,2,car
950.4710083007812,318.5565490722656,1061.6336669921875,402.4013671875,0.5777262449264526,2,car
